actor,character,first_appearance,company,purchase_date,shares,Date,Open,High,Low,Close,Volume,OpenInt,Unnamed: 0,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
,,,,,,2020-07-29,22.59,23.02,22.36,22.67,67323.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-01,22.54,22.54,21.12,21.5,181192.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-02,21.54,22.0,21.1,21.26,68057.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-03,21.13,21.38,19.83,19.96,232277.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-04,19.01,21.06,19.01,20.02,304968.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-05,20.13,20.23,18.64,18.79,270909.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-08,19.01,19.3,18.63,18.81,103004.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-09,18.88,18.95,17.91,18.05,191172.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-10,18.12,18.36,17.11,17.17,205635.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-11,17.55,17.811,17.26,17.45,189859.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-12,17.4,17.56,17.05,17.35,85558.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-15,19.04,21.45,18.41,18.55,615296.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-16,18.57,19.13,17.87,18.28,278932.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-17,18.61,18.61,17.95,18.0,132005.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-18,18.0,18.0326,17.5,17.6,301540.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-19,17.52,17.75,17.08,17.29,201877.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-22,17.53,17.82,17.13,17.81,140898.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-23,17.9,19.03,17.9,18.76,273661.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-24,18.75,19.01,18.11,18.45,180142.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-25,18.32,18.7,18.32,18.67,179547.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-26,18.73,19.1504,18.21,18.49,124805.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-29,18.68,18.86,18.5,18.77,268624.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-30,18.73,19.34,18.71,19.31,304501.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-08-31,19.4931,19.59,18.87,19.56,174932.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-01,19.6,19.62,19.06,19.26,178381.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-02,19.34,20.05,19.14,20.05,187681.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-06,19.99,20.29,19.27,20.18,182669.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-07,20.0,20.335,19.26,19.77,201439.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-08,19.78,19.78,19.26,19.43,172426.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-09,19.23,19.27,18.69,18.72,76102.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-12,18.5,18.81,18.08,18.71,222428.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-13,18.65,18.65,17.92,18.23,162459.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-14,18.28,18.4,17.97,18.11,90658.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-15,18.04,18.288,17.81,17.91,172501.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-16,17.85,18.1,17.49,17.5,158083.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-19,17.67,18.015,17.47,17.78,103036.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-20,17.85,18.1074,17.1,17.12,143165.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-21,17.23,17.39,16.7,17.09,107171.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-22,17.25,18.54,17.15,17.92,242038.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-23,17.84,18.05,16.84,17.04,295122.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-26,16.87,17.1,16.555,16.89,269807.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-27,16.94,17.02,16.6,16.87,135390.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-28,16.86,17.16,16.54,16.65,180920.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-29,16.59,17.05,16.51,16.98,110956.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-09-30,17.05,17.55,16.9508,17.39,111113.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-03,17.44,17.66,17.24,17.61,97596.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-04,17.45,17.544,16.88,17.35,215948.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-05,17.35,17.56,17.075,17.24,155812.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-06,17.17,17.3,17.045,17.17,158078.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-07,17.17,17.28,16.98,17.16,137096.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-10,17.32,17.68,17.29,17.37,107154.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-11,17.27,17.3,17.09,17.17,84125.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-12,17.25,17.6,16.97,17.21,155889.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-13,17.15,17.37,17.02,17.25,160195.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-14,17.34,17.34,17.0,17.11,93764.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-17,17.1,17.2,16.75,16.92,119386.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-18,17.1,17.1,16.62,16.87,154189.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-19,16.8,17.0,16.56,16.91,120000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-20,16.75,17.26,16.7,17.25,98327.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-21,17.07,17.25,16.81,16.88,137010.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-24,19.76,19.98,16.78,17.46,688766.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-25,17.25,17.39,16.72,16.96,203855.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-26,16.85,17.72,16.74,17.57,161290.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-27,17.62,17.77,17.0,17.05,87061.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-28,17.15,17.39,16.65,16.68,95531.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-10-31,16.68,16.97,16.39,16.39,153957.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-01,16.44,16.72,16.02,16.28,121892.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-02,16.28,16.5,15.36,15.89,246999.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-03,11.2,11.2,7.68,7.8,3742602.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-04,7.65,7.93,7.33,7.51,1246354.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-07,7.8,7.87,7.445,7.6,635918.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-08,7.59,7.63,6.97,7.0,808568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-09,6.07,7.09,6.01,7.04,842582.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-10,7.04,7.78,6.97,7.63,501172.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-11,7.82,8.97,7.63,8.87,580900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-14,8.91,9.78,8.87,9.28,652654.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-15,9.2,9.25,9.0,9.16,317190.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-16,9.7,9.85,9.37,9.75,377464.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-17,9.72,10.62,9.64,10.44,351548.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-18,10.41,10.4835,10.1,10.12,202594.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-21,10.23,10.23,9.09,9.25,288951.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-22,9.26,9.575,9.21,9.43,222737.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-23,9.43,9.43,9.24,9.27,128254.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-25,9.27,9.6,9.27,9.57,32055.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-28,9.43,9.43,8.75,8.8,217390.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-29,8.68,8.92,8.61,8.69,143192.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-11-30,8.58,8.8,8.29,8.39,242200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-01,8.3,8.54,8.08,8.52,305155.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-02,8.41,8.72,8.35,8.42,166190.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-05,8.39,8.79,8.27,8.57,296706.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-06,8.47,8.67,8.36,8.52,202300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-07,8.4,8.54,8.03,8.2,236250.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-08,8.27,8.39,8.12,8.32,246297.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-09,8.25,8.7,8.13,8.4,301866.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-12,8.4,8.515,8.19,8.22,149453.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-13,8.21,8.21,7.35,7.41,273715.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-14,7.39,7.8,7.27,7.77,324971.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-15,7.75,8.05,7.715,7.8,172070.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-16,7.83,8.09,7.68,7.7,246823.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-19,7.72,7.97,7.6,7.64,221017.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-20,7.63,7.8,7.45,7.47,179041.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-21,7.5,7.68,7.47,7.49,158157.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-22,7.51,7.61,7.23,7.34,242933.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-23,7.39,7.44,7.26,7.3,100972.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-27,7.3,7.35,7.15,7.16,210913.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-28,7.13,7.2008,6.8,7.0,247978.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-29,6.99,7.08,6.57,6.86,186640.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-12-30,6.88,7.5077,6.8301,7.24,199087.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-03,7.29,7.73,7.075,7.72,218350.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-04,7.72,7.89,7.62,7.69,257639.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-05,7.66,7.76,7.43,7.54,252009.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-06,7.57,7.637,7.46,7.54,97909.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-09,7.58,7.69,7.5,7.56,145819.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-10,7.6,7.96,7.6,7.92,140105.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-11,7.94,8.31,7.82,8.26,189169.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-12,8.25,8.25,7.9,8.0,173853.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-13,8.03,8.26,8.03,8.09,53803.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-17,8.06,8.12,7.9,8.0,166793.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-18,8.06,8.09,7.91,7.97,90543.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-19,8.0,8.08,7.81,7.85,76856.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-20,7.85,8.07,7.85,8.05,53409.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-23,8.04,8.04,7.87,7.95,88318.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-24,8.0,8.307,7.83,8.17,74229.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-25,8.2,8.29,8.12,8.16,94066.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-26,8.18,8.205,8.035,8.08,78453.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-27,8.07,8.145,7.84,8.11,140722.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-30,8.05,8.15,7.91,7.95,213700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-01-31,7.96,8.055,7.75,7.95,97882.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-01,7.95,8.1,7.93,8.01,62619.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-02,7.95,8.18,7.8543,8.03,126575.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-03,8.17,8.35,8.03,8.17,94709.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-06,8.0,8.19,7.891,7.97,125758.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-07,7.93,7.97,7.8,7.95,87198.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-08,7.85,7.95,7.76,7.79,92195.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-09,7.87,7.97,7.75,7.9,96577.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-10,7.99,8.11,7.88,7.9,88753.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-13,7.9,8.06,7.75,7.78,116082.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-14,7.78,8.02,7.75,7.92,98010.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-15,7.92,8.175,7.89,8.11,118952.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-16,8.03,8.21,7.91,8.06,68601.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-17,8.01,8.13,7.78,8.11,84704.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-21,8.12,8.25,8.06,8.15,84583.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-22,8.13,8.33,7.84,7.86,87871.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-23,7.85,7.93,7.71,7.74,165743.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-24,7.72,7.73,7.51,7.58,72430.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-27,7.55,7.68,7.45,7.59,173343.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-02-28,7.55,9.53,7.05,9.17,418117.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-01,9.32,9.68,8.8,8.91,307752.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-02,8.87,9.03,8.7,8.91,120837.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-03,8.87,9.06,8.82,9.0,231207.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-06,8.97,9.065,8.8201,8.99,136909.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-07,8.95,8.97,8.64,8.7,127898.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-08,8.71,8.92,8.63,8.69,108599.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-09,8.66,8.86,8.52,8.6,122068.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-10,8.63,8.76,8.54,8.74,91200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-13,8.69,9.1,8.68,8.72,166311.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-14,8.66,8.72,8.37,8.64,137235.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-15,8.65,9.12,8.42,8.9,177614.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-16,8.88,8.955,8.56,8.58,142189.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-17,8.6,8.7,8.57,8.58,95902.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-20,8.58,8.58,8.3,8.37,93401.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-21,8.39,8.5074,8.18,8.24,78297.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-22,8.25,8.278,7.875,7.99,131523.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-23,8.0,8.04,7.76,7.81,67912.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-24,7.74,8.08,7.58,7.98,119807.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-27,7.99,8.55,7.92,8.43,128305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-28,8.37,8.51,8.13,8.28,118285.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-29,8.28,8.68,8.1,8.6,222249.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-30,8.57,8.59,8.38,8.49,166916.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-03-31,8.45,8.91,8.42,8.53,91905.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-03,8.55,8.79,8.39,8.52,152061.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-04,8.47,8.55,8.2,8.34,139775.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-05,8.39,8.53,8.11,8.19,119036.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-06,8.2,8.44,8.15,8.43,127377.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-07,8.43,8.43,8.21,8.3,63900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-10,8.21,8.5119,8.21,8.26,81117.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-11,8.26,8.35,8.229,8.27,55611.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-12,8.24,8.33,8.125,8.2,90293.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-13,8.19,8.19,8.025,8.08,79621.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-17,8.07,8.07,7.85,7.98,127308.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-18,7.93,7.93,7.46,7.67,117440.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-19,7.71,7.82,7.46,7.53,104371.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-20,7.55,7.64,7.342,7.56,74573.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-21,7.58,7.6804,7.31,7.39,86580.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-24,7.48,7.4931,7.07,7.18,152036.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-25,7.21,7.39,7.03,7.06,65054.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-26,7.05,7.55,7.05,7.49,121080.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-27,7.5,7.65,7.07,7.1,72729.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-04-28,7.1,7.45,7.01,7.16,58351.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-01,7.13,7.27,7.01,7.12,51342.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-02,7.16,7.84,7.16,7.81,89835.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-03,7.84,8.09,7.365,7.38,104717.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-04,8.22,8.987,7.77,7.95,341148.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-05,7.93,7.93,6.87,7.09,273381.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-08,7.11,7.24,7.0,7.17,64766.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-09,7.21,7.21,7.02,7.09,74205.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-10,7.03,7.36,7.0,7.18,99216.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-11,7.19,7.49,7.11,7.43,62793.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-12,7.47,7.4717,7.15,7.17,60991.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-15,7.17,7.325,7.01,7.23,87937.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-16,7.21,7.2448,7.03,7.07,106679.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-17,7.03,7.07,6.86,6.87,136664.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-18,6.87,6.87,6.52,6.56,141203.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-19,6.58,7.12,6.58,6.72,104685.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-22,6.7,7.0,6.7,6.92,50379.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-23,6.99,7.08,6.8,7.03,63932.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-24,7.18,7.2397,7.01,7.02,358389.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-25,7.01,7.12,6.51,6.59,271604.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-26,6.53,6.75,6.32,6.75,185082.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-30,6.7,6.7,6.05,6.29,311473.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-05-31,6.26,6.315,6.25,6.28,168532.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-01,6.24,6.67,6.07,6.46,210235.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-02,6.46,6.665,6.32,6.5,119227.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-05,6.54,6.67,6.26,6.37,94937.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-06,6.3,6.38,6.02,6.28,117065.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-07,6.28,6.409,5.99,6.05,135848.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-08,6.01,6.46,6.01,6.37,97208.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-09,6.32,6.7,6.26,6.47,89032.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-12,6.43,6.69,6.43,6.55,43314.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-13,6.56,6.72,6.47,6.55,76422.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-14,6.57,6.79,6.53,6.75,65257.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-15,6.69,6.8,6.59,6.62,37221.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-16,6.55,6.6699,6.19,6.28,124201.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-19,6.31,6.6,6.13,6.52,65389.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-20,6.49,6.85,6.355,6.81,48553.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2021-06-21,6.79,6.967,6.52,6.57,53646.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
